fb_hashtags,story_tag,from_user_location,geo,from_user_nick,update_time,tags_name,comments_count,content_language,time,like_count,from_user_like_count,from_user_category,media_id,shared_title,from_user_realname,media_name,shared_uri,media_like_count,from_parent_id,share_target_uri,shares_count,from_user_language,uri,image,platform,shared_domain,from_user_name,title,shared_initial_uri,domain,from_user_id,share_target_title,status_type,tags_id,post_type,content,twi_hashtags,event,favorite_count
,,슈퍼주니어村のレラヒョクぺそ,,,2016-01-16T00:00:00+08:00,,,,2016-01-16T00:00:00+08:00,,,,,,はーーーーーつ,,,,,,,ja,,[],twitter,,Hearts_SjElf,,,,3191882053,,,,,RT @keitadj: 結局JYPは自分の不手際を98ライン16歳の女の子に謝罪させたのか.... https://t.co/myp57D494Y,,,0
,,日本 青森県,,,2016-01-16T00:00:00+08:00,,,,2016-01-16T00:00:00+08:00,,,,,,Miyuki,,,,,,,ja,,[],twitter,,MIROTIC_5,,,,217144293,,,,,RT @keitadj: JYPは「私たちは文化事業を行う企業として、中国の政治に関するいかなる主張やアクションを取らない」のになんでチュウィに「私は中国人であることを誇らしく思います」と言わせたのか https://t.co/DRSLZ35UfB,,,0
